content_type,Filename,publication_date,title,description,make,model,year,vehicle_type,image_url,mint_url,contract_type,contract address,edition_size,metadata_url,status,notes,,
car_of_the_day,,2025-07-02,The Thing,Billboards along the highway are the original interactive entertainment for travelers,,,2025,,https://app.ardrive.io/#/file/c82a3988-4e5d-46e7-b089-23d7e951c6c4/view?fileKey=HFf56LQ8MBwJVekzSpGwErDHavV1HXmKv874rywaARs,e_ttWmzA7TET2mvmKIYnYglm0yt2PGmdNVb2OIlRxXM,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,BASE 1155,,,,,
car_of_the_day,CAR00JGG14226152-Barnfresh_wm.jpg,2025-07-03,Barn Fresh,"Jaguar fresh from the ""barn"" and ready for the highest auto auction bidder",Jaguar,Jaguar XK120 Drophead Coupe,1953,Drophead Coupe Sports Car,https://arweave.net/qCO_kXgLaXhaVP8DqmTddFOW86YsLWnmU0hJA6S5fws,https://manifold.xyz/@carculture/id/4195533040,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,,4195533040,published,,,
car_of_the_day,CAR41VWW08325371_4yrold_wm.jpg,2025-07-04,Light Bulb Moment,When I was four-years-old my father put me on his lap and let me drive our Volkswagen Beetle. My mother screamed. My father shifted the gears. I concentrated on keeping our precious bug on the road. This was my Light Bulb Moment: I morphed into what I am today the Drivr.,Volkswagen,Beetle,1964,Coupe,https://assets.manifold.xyz/optimized/9506c8005f134daeb4c9eb06e80fff99f42bb5b71467549e1ad8639ee906139f/w_1024.jpg,https://app.manifold.xyz/c/light-bulb-moment,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,10,https://assets.manifold.xyz/optimized/9506c8005f134daeb4c9eb06e80fff99f42bb5b71467549e1ad8639ee906139f/w_1024.jpg,published,,,
special_mint,CAR19CAA12239996-Bargemobile_wm.tif,2025-07-05,Bargemobile,,Cadillac,Cadillac Fleetwood Eldorado Convertible,1974,Convertible,,https://manifold.gallery/base:0x8ef0772347e0caed0119937175d7ef9636ae1aa0/21,BASE 721,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,10,https://enlo2moovwnwgkz3224sx3ulqqgs5iaatjyvrl3bq7norfa763ra.arweave.net/I1btMc6tm2MrO9a5K-6LhA0uoACacVivYYfa6JQf9uI/,published,,,
special_mint,CAR14FOO08153371-Thunderbird at Lone Cypress_wm.tif,2025-07-06,Thunderbird at Lone Cypress,Thunderbird at Lone Cypress,,Thunderbird,,,Convertible,https://arweave.net/nOVdYejNGUOh9cf3xxWEQNVMpSx6CY91VpnTUO0jgAs,BASE 721,,10,,published,draft,,
paragraph_newsletter,CAR05LII04006232-Target Practice_wm.TIF,2025-08-13,Target Practice,2004 Lincoln Town Car armored car with bullet holes,,Target Practice,,Sports Car,,,,,,,published,Newsletter content about target practice cars,,
paragraph_newsletter,RTAZCL0010945-Westward-Ho_wm.TIF,2025-08-17,Westward Ho,"Ford Model T Depot Hack awaiting passengers at the Grand Canyon Railway Station on Route 66 in Williams, Arizona.",,Westward Ho,,Antique Car,,,,,,,published,Newsletter content about westward expansion cars,,
car_of_the_day,NSMECL0030015-Teenyosaurus.jpg,2025-07-09,Teenyosaurus,Nash at Diner,Nash,Metropolitan,1955,Economy Car,https://arweave.net/W4HXhc_KU9hBJw1L2geJ3CLuUK7111Hv05el0NpFe2g,https://app.manifold.xyz/c/teenyosaurus,BASE 721,0x8ef0772347e0caed0119937175d7ef9636ae1aa0,25,https://6csb6mgwl4pxku7fjel5ojgmaguesili247mlgeambylpf34ui5q.arweave.net/8KQfMNZfH3VT5UkX1yTMAahJIWjXPsWYgGBwt5d8ojs,published, ,,
car_of_the_day,Man-drving-trans-dropshadow.jpg,2025-04-22,Man Driving Car,Nil,Nil,Nil,Nil,Nil,https://arweave.net/mMJs74owoJPCVhufYBxcBUl0dGpVDsTT3BG6hNKi56s,https://app.manifold.xyz/c/man-driving-car,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,100,,published,,,
car_of_the_day,1- CAR31aAA07007007.-2.jpg,2025-09-01,Car Culture: CarMania Garage Testing 1,CarMania Garage Testing 1,Nil,Nil,Nil,Nil,,https://hlwk6ht7i3v7hnrmrouv4jhwjss4ztuibm5ey7qii6ou7eq2ye5a.arweave.net/OuyvHn9G6_O2LIupXiT2TKXMzogLOkx-CEedT5IawTo,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,100,,,testing,,
car_of_the_day,2- CAR20bAA07007007.jpg,2025-09-02,Car Culture: CarMania Garage Testing 2,CarMania Garage Testing 2,Nil,Nil,Nil,Nil,,https://56k43jlbc26cs47a6lg6srqv77epwa2uibctqtg5jmedtrg6gfoq.arweave.net/75XNpWEWvClz4PLN6UYV_8j7A1RARThM3UsIOcTeMV0,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,100,,,published,,
car_of_the_day,3- CAR14bAA07007007.jpg,2025-09-03,Car Culture: CarMania Garage Testing 3,CarMania Garage Testing 3,Nil,Nil,Nil,Nil,,https://kl5lgl3bvujomrzo5noe35jw6yxws5whnw53zogrhbaz73edu6kq.arweave.net/UvqzL2GtEuZHLutcTfU29i9pdsdtu7y40ThBn-yDp5U,BASE 1155,0x1c6d27a76f4f706cccb698acc236c31f886c5421,100,,,testing,,
